id,YEAR,Montant achat,zip,Type
217,2012,1935.1,1020,H32
247,2013,272.88,1020,G25
433,2013,1134.71,1020,H32
716,2013,2533.11,1020,G28
815,2013,474.94,1020,G25
1015,2013,1098.45,1020,G28
1095,2013,2134.11,1020,G28
1236,2013,399.57,1020,G28
1241,2013,2427.11,1020,G28
1364,2013,2918.15,1020,H32
1385,2013,110.84,1020,G26
1574,2013,2791.35,1020,H33
1732,2013,7038.8,1020,G28
1857,2013,588.84,1020,G25
2172,2013,2313.92,1020,H29
2293,2013,244.96,1020,G28
2632,2013,313.69,1020,G28
2668,2013,169.1,1020,H32
2720,2013,2163.98,1020,A03
2855,2013,1041.7,1020,G25
2858,2013,1152.01,1020,G28
2871,2013,147.96,1020,H33
3042,2013,941.16,1020,G28
3613,2013,469.06,1020,A03
3704,2013,1852.33,1020,G25
3727,2013,21.68,1020,G28
4493,2013,8499.28,1020,H29
4742,2013,156.49,1020,G28
4750,2013,243.09,1020,H32
5132,2013,158.42,1020,H32
5203,2013,2367.23,1020,H32
5494,2013,3941.17,1020,H33
5659,2013,1155.76,1020,G28
39,2013,9553.62,1030,H33
40,2013,238.26,1030,G28
117,2013,7563.44,1030,H33
170,2013,4750.3,1030,H29
192,2013,5700.29,1030,H32
216,2013,1401.12,1030,H32
219,2012,790.88,1030,H29
220,2012,4816.18,1030,H32
221,2012,4485.75,1030,H33
222,2012,11088.7,1030,H29
223,2012,5092.41,1030,H32
224,2012,1754.94,1030,G28
225,2012,191.7,1030,H32
226,2012,68.17,1030,H29
227,2012,2941.76,1030,H32
228,2012,209.46,1030,H33
229,2012,33.33,1030,H29
230,2012,3485.21,1030,H29
231,2012,259.96,1030,H32
232,2012,219.5,1030,H32
233,2012,819.56,1030,H32
234,2012,197.52,1030,H32
235,2012,42.69,1030,H32
236,2012,2606.3,1030,H29
237,2012,5383.34,1030,H29
237,2013,737.49,1030,G28
238,2012,4587.57,1030,H29
239,2012,481.44,1030,B06
239,2013,144.3,1030,H32
240,2012,608.25,1030,H32
241,2012,170.29,1030,H32
242,2012,2299.94,1030,H32
243,2012,2215.45,1030,H29
244,2012,83.5,1030,H29
245,2012,6.51,1030,H32
246,2012,2415.41,1030,H29
247,2012,870.65,1030,H32
248,2012,2150.28,1030,H32
249,2012,175.5,1030,H32
250,2012,1245.49,1030,H32
251,2012,471.89,1030,H32
252,2012,1580.23,1030,H32
253,2012,1404.8,1030,H29
254,2012,4376.31,1030,H32
255,2012,1695.44,1030,H32
256,2012,2990.39,1030,H29
257,2012,3445.52,1030,H29
258,2012,9598.35,1030,H32
259,2012,2171.14,1030,H29
260,2012,1691.6,1030,H29
261,2012,66.3,1030,H29
262,2012,4611.58,1030,H32
263,2012,8130.55,1030,H32
264,2012,16520.06,1030,H32
265,2012,261.76,1030,H32
266,2012,246.06,1030,H29
267,2012,1495.98,1030,H29
268,2012,406.05,1030,H32
269,2012,19796.56,1030,H32
270,2012,9850.38,1030,H32
271,2012,3352.54,1030,H32
272,2012,4153.27,1030,H32
273,2012,8.67,1030,H32
274,2012,160.08,1030,H29
275,2012,9628.85,1030,H29
276,2012,1021.62,1030,H32
277,2012,457.85,1030,H29
278,2012,557.44,1030,H29
279,2012,10638.1,1030,H29
280,2012,7318.28,1030,H32
281,2012,93.92,1030,G28
282,2012,1943.29,1030,G28
283,2012,1794.21,1030,H32
284,2012,6623.1,1030,H33
285,2012,6723.33,1030,H32
286,2012,335.28,1030,H32
287,2012,3103.95,1030,H32
288,2012,7645.74,1030,H32
289,2012,964.32,1030,H32
290,2012,2562.84,1030,B06
291,2012,5872.46,1030,H29
292,2012,3039.83,1030,H32
293,2012,7638.23,1030,H29
294,2012,534.05,1030,H32
295,2012,5516.93,1030,B06
296,2012,217.71,1030,H29
297,2012,3914.35,1030,H32
298,2012,502.04,1030,G28
299,2012,28017.61,1030,B06
300,2012,2736.51,1030,H32
301,2012,3828.53,1030,G28
302,2012,1396.77,1030,H32
303,2012,1648.96,1030,G28
304,2012,633.04,1030,H32
305,2012,71.35,1030,H29
306,2012,237.69,1030,H32
307,2012,3215.98,1030,H32
308,2012,321.31,1030,G28
309,2012,1028.03,1030,H29
310,2012,659.86,1030,H32
311,2012,416.62,1030,H29
312,2012,87.02,1030,H32
313,2012,412.75,1030,H32
314,2012,2307.29,1030,H32
315,2012,1098.58,1030,H30
316,2012,66.25,1030,H32
317,2012,2142.2,1030,H29
318,2012,7785.4,1030,H29
319,2012,10871.19,1030,H33
320,2012,505.56,1030,G28
321,2012,182.92,1030,H29
322,2012,1223.2,1030,H29
323,2012,448.5,1030,H32
324,2012,432.26,1030,G28
325,2012,437.55,1030,G26
326,2012,4453.24,1030,G26
327,2012,675.9,1030,H33
328,2012,7809.93,1030,H33
329,2012,101.53,1030,H29
330,2012,1062.3,1030,H32
331,2012,477.52,1030,H29
332,2012,132.73,1030,H31
333,2012,86.45,1030,H31
334,2012,1574.77,1030,H32
335,2012,4025.09,1030,H29
336,2012,2499.01,1030,H29
337,2012,270.86,1030,H33
338,2012,240.31,1030,H29
339,2012,609.41,1030,H29
339,2013,6293.43,1030,H32
340,2012,6078.15,1030,H32
341,2012,3097.92,1030,H29
342,2012,669.47,1030,G28
343,2012,70.21,1030,H32
344,2012,4171.32,1030,H32
345,2012,3011.69,1030,H29
346,2012,1998.88,1030,H32
346,2013,2104.54,1030,H33
347,2012,3811.32,1030,H33
348,2012,2208.75,1030,H33
349,2012,1872.93,1030,H33
350,2012,194.58,1030,H32
351,2012,1168.12,1030,H32
352,2012,4336.02,1030,H33
353,2012,4657.45,1030,H29
354,2012,617.86,1030,H29
355,2012,12160.36,1030,H33
356,2012,29.76,1030,H32
357,2012,753.92,1030,H32
358,2012,20325.66,1030,H32
359,2012,3068.86,1030,G28
360,2012,742.56,1030,G28
361,2012,12666.12,1030,H33
361,2013,108.78,1030,G26
362,2012,5170.2,1030,H29
363,2012,10351.73,1030,H29
364,2012,3589.71,1030,H32
365,2012,519.21,1030,H30
366,2012,5356.66,1030,H30
367,2012,1985.56,1030,H29
368,2012,8224.06,1030,H29
369,2012,12922.22,1030,H29
370,2012,844.27,1030,H29
371,2012,1207.92,1030,H33
372,2012,1112.48,1030,H32
373,2012,71.82,1030,H29
374,2012,3224.32,1030,H29
375,2012,5224.09,1030,H32
376,2012,2815.26,1030,H32
377,2012,13231.3,1030,H29
378,2012,582.36,1030,H29
379,2012,382.54,1030,H32
380,2012,773.89,1030,H29
381,2012,1652.74,1030,H31
414,2013,1393.15,1030,H33
475,2013,5354.58,1030,H33
477,2013,10901.61,1030,H29
483,2013,10637,1030,H32
485,2012,7467.42,1030,H29
486,2012,11590.54,1030,H29
591,2013,277.32,1030,H29
611,2013,789.57,1030,H32
630,2013,1955.71,1030,H29
645,2013,84.85,1030,H32
649,2013,961.16,1030,G28
654,2013,1.82,1030,H32
674,2013,3672.82,1030,H32
726,2013,8129.59,1030,G28
733,2013,5628.34,1030,H29
757,2013,5398.36,1030,B06
788,2013,21116.31,1030,H29
790,2013,1745.58,1030,H32
821,2013,6077.18,1030,H29
882,2013,4380.38,1030,H29
885,2013,188.95,1030,H29
890,2013,698.22,1030,H32
902,2013,12.25,1030,H32
943,2013,5452.12,1030,H29
973,2013,641.63,1030,H32
1049,2013,2487.07,1030,H29
1061,2013,5729.16,1030,H30
1069,2013,11252.21,1030,H29
1073,2013,3465.86,1030,H32
1074,2013,21461.1,1030,H32
1100,2013,719.55,1030,H29
1224,2013,4772.26,1030,H29
1261,2013,1436.92,1030,H29
1348,2013,4133.98,1030,H33
1369,2013,785.36,1030,G28
1405,2013,7569.06,1030,H29
1435,2013,769.34,1030,H32
1461,2013,988.41,1030,H29
1510,2013,1155.89,1030,H29
1529,2013,2346.16,1030,G28
1531,2013,2457.05,1030,H33
1534,2013,1888.33,1030,H32
1535,2013,207.71,1030,H29
1553,2013,9163.88,1030,H32
1561,2013,583.94,1030,H29
1581,2013,1828.74,1030,H32
1601,2013,5497.26,1030,H29
1617,2013,93.61,1030,H32
1661,2013,1082.53,1030,H33
1700,2013,5212.78,1030,B06
1706,2013,5959.72,1030,G28
1760,2013,12882.18,1030,H29
1804,2013,4326.43,1030,H29
1833,2013,1064.89,1030,H32
1853,2013,2281.96,1030,H32
1898,2013,80.12,1030,G28
1917,2013,7450.61,1030,H32
1971,2013,62.08,1030,H29
2039,2013,344.5,1030,H29
2081,2013,2838.25,1030,G28
2092,2013,2630.46,1030,H29
2095,2013,2541.13,1030,H32
2096,2013,7864.69,1030,H29
2097,2013,3732.28,1030,H32
2111,2013,145.31,1030,H29
2163,2013,1784.51,1030,G28
2164,2013,2824.79,1030,H29
2166,2013,58.87,1030,H32
2201,2013,246.04,1030,H32
2292,2013,432.15,1030,H30
2316,2013,165.43,1030,H29
2322,2013,1377.56,1030,H29
2349,2013,851.78,1030,H29
2420,2013,2855.23,1030,G26
2426,2013,900.37,1030,H32
2430,2013,1421.08,1030,B06
2446,2013,359.88,1030,H33
2462,2013,304.81,1030,H32
2515,2013,186.53,1030,H29
2518,2013,15.93,1030,H32
2556,2013,4575.96,1030,H32
2583,2013,1244.04,1030,H32
2617,2013,160.54,1030,H29
2651,2013,2108.1,1030,H29
2670,2013,14851.94,1030,H29
2672,2013,7233.08,1030,H29
2715,2013,228.66,1030,H32
2745,2013,267,1030,H29
2761,2013,184.84,1030,H32
2763,2013,1904.44,1030,H29
2766,2013,70.95,1030,H32
2768,2013,397.06,1030,H32
2769,2013,20085.35,1030,B06
2810,2013,697.81,1030,B06
2827,2013,5052.45,1030,H33
2867,2013,2266.55,1030,G25
2877,2013,1076.17,1030,H29
2911,2013,1242.57,1030,H29
2966,2013,5108.79,1030,H32
3029,2013,4077.93,1030,H29
3062,2013,335.67,1030,H32
3063,2013,3732.85,1030,H32
3105,2013,851.56,1030,F23
3123,2013,13605.89,1030,H29
3344,2013,1964.53,1030,H32
3393,2013,6247.12,1030,H29
3409,2013,3922.53,1030,H33
3444,2013,583.99,1030,G28
3465,2013,669.45,1030,H33
3530,2013,116.8,1030,H32
3545,2013,3112.27,1030,H29
3706,2013,2651.17,1030,H29
3723,2013,1692.92,1030,H29
3776,2013,9892.64,1030,H32
3788,2013,143.42,1030,H32
3864,2013,2979.1,1030,H29
3871,2013,408.68,1030,G28
3876,2013,315.63,1030,H32
3889,2013,448.1,1030,H32
3894,2013,4515.66,1030,H29
3910,2013,117.22,1030,H32
3923,2013,2564.68,1030,H29
3976,2013,384.68,1030,H32
3986,2013,3056.86,1030,H32
4018,2013,470.97,1030,H32
4063,2013,4007.79,1030,H29
4069,2013,1097.04,1030,H29
4079,2013,1921.74,1030,H32
4122,2013,170.09,1030,H29
4186,2013,370.78,1030,H32
4222,2013,15449.64,1030,H32
4307,2013,71.21,1030,H29
4331,2013,1014.75,1030,H29
4352,2013,824.43,1030,H32
4374,2013,1690.85,1030,H32
4426,2013,446.39,1030,H29
4463,2013,11594.98,1030,H29
4464,2013,39.72,1030,H32
4473,2013,4431.45,1030,H32
4498,2013,341.12,1030,H33
4509,2013,404.41,1030,H32
4537,2013,3208.21,1030,H32
4574,2013,824.63,1030,H33
4610,2013,171.34,1030,H29
4611,2013,92.52,1030,H32
4666,2013,2573.25,1030,H29
4670,2013,1533.8,1030,H29
4671,2013,20049.24,1030,H32
4730,2013,288.56,1030,G28
4737,2013,1146.93,1030,H32
4762,2013,40.36,1030,H29
4786,2013,225.24,1030,H33
4812,2013,7363.46,1030,H33
4855,2013,2324.24,1030,H32
4959,2013,408.12,1030,H32
4969,2013,616.36,1030,H29
5008,2013,926.96,1030,H32
5052,2013,7335.32,1030,H29
5076,2013,194.66,1030,H32
5116,2013,240.78,1030,G28
5127,2013,1739.49,1030,H29
5131,2013,3546.41,1030,G28
5138,2013,2980.37,1030,H32
5178,2013,4097.46,1030,H33
5265,2013,2522.91,1030,H29
5342,2013,13807.49,1030,H33
5366,2013,2012.74,1030,H32
